Projectile,H2,H2O,CO,CH4,CO2,Machine,Cross Section Type
He1,3.26350466371835e-22,2.3225267563829303e-21,3.583090746853209e-21,2.2396153895857835e-21,5.579267036864304e-21,LEIR,EL
He2,0.0,0.0,0.0,0.0,0.0,LEIR,EL
O4,4.0146939832274804e-22,2.913705167259931e-21,4.5020437977489726e-21,2.792746825457286e-21,7.014279566686155e-21,LEIR,EL
O8,0.0,0.0,0.0,0.0,0.0,LEIR,EL
Mg6,3.0651269727169713e-22,2.2763862681765684e-21,3.523308092297928e-21,2.166459915936451e-21,5.4931816632027995e-21,LEIR,EL
Mg7,2.1116314123459395e-22,1.5783488463743086e-21,2.444026846132384e-21,1.4991674234618578e-21,3.811212551272099e-21,LEIR,EL
Pb54,1.5513760559169053e-23,1.3528718627313556e-22,2.113399758302357e-22,1.2259407123460726e-22,3.311134015442022e-22,LEIR,EL
He1,8.929478314509398e-30,2.772770469566565e-26,3.599879439859504e-26,8.29787813787292e-27,6.371756961594619e-26,LEIR,EC
He2,1.296587618785035e-28,4.026147700410028e-25,5.227135274930819e-25,1.2048773373771458e-25,9.25198638772206e-25,LEIR,EC
O4,1.8826849609511746e-27,5.831380975337487e-24,7.575251323587318e-24,1.7495184031326845e-24,1.3404749613963853e-23,LEIR,EC
O8,2.733716264785172e-26,6.930696914517813e-23,9.429049355308666e-23,2.5065535895852076e-23,1.6357012553561694e-22,LEIR,EC
Mg6,9.005128478532249e-27,2.6363790823118048e-23,3.469924415582401e-23,8.362468718141558e-24,6.105402985046353e-23,LEIR,EC
Mg7,1.6326929646805416e-26,4.4860940273704834e-23,5.992249764323935e-23,1.5110538158474936e-23,1.0476711098729738e-22,LEIR,EC
Pb54,4.3437617811473225e-23,6.934890790208836e-21,1.1929563301932271e-20,5.124985365157856e-21,1.8821016474329635e-20,LEIR,EC
He1,3.263504753013133e-22,2.322554484087626e-21,3.583126745647607e-21,2.2396236874639214e-21,5.57933075443392e-21,LEIR,Total
He2,1.296587618785035e-28,4.026147700410028e-25,5.227135274930819e-25,1.2048773373771458e-25,9.25198638772206e-25,LEIR,Total
O4,4.0147128100770897e-22,2.9195365482352683e-21,4.50961904907256e-21,2.7944963438604187e-21,7.027684316300119e-21,LEIR,Total
O8,2.733716264785172e-26,6.930696914517813e-23,9.429049355308666e-23,2.5065535895852076e-23,1.6357012553561694e-22,LEIR,Total
Mg6,3.0652170240017567e-22,2.3027500589996865e-21,3.5580073364537515e-21,2.1748223846545926e-21,5.554235693053263e-21,LEIR,Total
Mg7,2.1117946816424076e-22,1.6232097866480134e-21,2.5039493437756236e-21,1.5142779616203328e-21,3.915979662259396e-21,LEIR,Total
Pb54,5.895137837064228e-23,7.07017797648197e-21,1.2140903277762506e-20,5.247579436392463e-21,1.9152129875873836e-20,LEIR,Total
He1,3.7079502661426587e-23,4.615610157213386e-22,,,,PS,EL
He2,0.0,0.0,,,,PS,EL
