Projectile,H2,H2O,CO,CH4,CO2,Machine,Cross Section Type
He1,9.245932008836742e-24,8.694964503675847e-23,1.362351388169618e-22,7.702328980671357e-23,2.139388518448835e-22,LEIR,EL
He2,0.0,0.0,0.0,0.0,0.0,LEIR,EL
B5,1.3337377331954033e-22,9.959339887804045e-22,1.5420680189627027e-21,9.462553501409191e-22,2.4046282344235668e-21,LEIR,EL
O4,2.103409497702656e-23,1.92531575286078e-22,3.0136830835563953e-22,1.7193901800064122e-22,4.72865788664691e-22,LEIR,EL
O8,0.0,0.0,0.0,0.0,0.0,LEIR,EL
Mg6,2.1853769938789457e-23,1.9413662250527243e-22,3.035163424566289e-22,1.749410297677248e-22,4.757991950231118e-22,LEIR,EL
Mg7,1.7463763966987975e-23,1.5513827418685296e-22,2.4254569255704674e-22,1.3979871027115773e-22,3.802202027769118e-22,LEIR,EL
Pb54,1.6206428105019935e-23,1.413275684837208e-22,2.2077600791544115e-22,1.2806772374678014e-22,3.4589714829414204e-22,LEIR,EL
He1,8.929478314509398e-30,2.772770469566565e-26,3.599879439859504e-26,8.29787813787292e-27,6.371756961594619e-26,LEIR,EC
He2,1.296587618785035e-28,4.026147700410028e-25,5.227135274930819e-25,1.2048773373771458e-25,9.25198638772206e-25,LEIR,EC
B5,6.201748212263032e-28,1.9256802447695126e-24,2.5001283140919703e-24,5.763085937861366e-25,4.425188384040257e-24,LEIR,EC
O4,1.8826849609511746e-27,5.831380975337487e-24,7.575251323587318e-24,1.7495184031326845e-24,1.3404749613963853e-23,LEIR,EC
O8,2.733716264785172e-26,6.930696914517813e-23,9.429049355308666e-23,2.5065535895852076e-23,1.6357012553561694e-22,LEIR,EC
Mg6,9.005128478532249e-27,2.6363790823118048e-23,3.469924415582401e-23,8.362468718141558e-24,6.105402985046353e-23,LEIR,EC
Mg7,1.6326929646805416e-26,4.4860940273704834e-23,5.992249764323935e-23,1.5110538158474936e-23,1.0476711098729738e-22,LEIR,EC
Pb54,4.3437617811473225e-23,6.934890790208836e-21,1.1929563301932271e-20,5.124985365157856e-21,1.8821016474329635e-20,LEIR,EC
He1,9.245940938315056e-24,8.697737274145413e-23,1.362711376113604e-22,7.703158768485144e-23,2.1400256941449945e-22,LEIR,Total
He2,1.296587618785035e-28,4.026147700410028e-25,5.227135274930819e-25,1.2048773373771458e-25,9.25198638772206e-25,LEIR,Total
B5,1.3337439349436156e-22,9.97859669025174e-22,1.5445681472767946e-21,9.468316587347053e-22,2.409053422807607e-21,LEIR,Total
O4,2.1035977661987513e-23,1.9836295626141547e-22,3.0894355967922685e-22,1.736885364037739e-22,4.862705382786548e-22,LEIR,Total
O8,2.733716264785172e-26,6.930696914517813e-23,9.429049355308666e-23,2.5065535895852076e-23,1.6357012553561694e-22,LEIR,Total
Mg6,2.186277506726799e-23,2.2050041332839046e-22,3.382155866124529e-22,1.8330349848586636e-22,5.368532248735753e-22,LEIR,Total
Mg7,1.7480090896634782e-23,1.999992144605578e-22,3.024681902002861e-22,1.5490924842963266e-22,4.8498731376420915e-22,LEIR,Total
Pb54,5.964404591649316e-23,7.076218358692557e-21,1.2150339309847712e-20,5.253053088904636e-21,1.9166913622623777e-20,LEIR,Total
He1,4.0272502241174877e-28,5.368773196879619e-27,,,,PS,EL
He2,0.0,0.0,,,,PS,EL
B5,4.232279138572592e-23,3.912963167120878e-22,,,,PS,EL
O4,7.9731976749749215e-25,1.0507726793458146e-23,,,,PS,EL
O8,0.0,0.0,,,,PS,EL
Mg6,2.8836083014421182e-24,3.758892701424931e-23,,,,PS,EL
Mg7,1.4344095366215242e-24,2.3897154794428495e-23,,,,PS,EL
Pb54,3.402669427831052e-24,4.5849971104162894e-23,,,,PS,EL
He1,1.5019014895846753e-35,4.6636857740632987e-32,,,,PS,EC
He2,4.29621031125126e-37,1.3340538677078765e-33,,,,PS,EC
B5,2.9633839636811406e-31,9.201862925329947e-28,,,,PS,EC
O4,3.153026264917181e-33,9.79073783394977e-30,,,,PS,EC
O8,9.024510497843321e-35,2.802279744613302e-31,,,,PS,EC
Mg6,1.5070550142619366e-32,4.67968843461747e-29,,,,PS,EC
Mg7,6.585450647280479e-33,2.0449059217599503e-29,,,,PS,EC
Pb54,5.134594121155656e-29,1.5943877627449844e-25,,,,PS,EC
He1,4.0272503743076365e-28,5.3688198337373596e-27,,,,PS,Total
