"Projectile","Z_p","A_p","LEIR_Kinj","PS_Kinj","SPS_Kinj","LEIR_beta","PS_beta","SPS_beta","LEIR_gamma","PS_gamma","SPS_gamma","LEIR_q","PS_q","SPS_q","I_p","n_0"
"He1",2,4,4.2,67.02,5722.74,0.094612,0.360286,0.99,1.00450657034627,1.07191599336857,7.04156395018078,1,1,2,0.0544177655282,1
"He2",2,4,4.2,245.39,12279.29,0.094612,0.61131,0.99,1.00450595269476,1.26327044760461,13.9743059139963,2,2,2,0,0
"O4",8,16,4.2,67.08,5723.5,0.094657,0.36059,0.99,1.00451093762181,1.0720507606284,7.04825030543093,4,4,8,0.113899,2
"O5",8,16,4.2,102.905,7246.93,0.09466197,0.4348989,0.993,1.0045107828936,1.11051972056573,8.77803482601579,5,5,8,0.1381189,1
"O8",8,16,4.2,245.58,12280.12,0.094657,0.61168,0.99,1.00451031877268,1.26372761880063,13.9877771212846,8,8,8,0,0
"Mg6",12,24,4.2,67.09,5723.75,0.094672,0.360686,0.99,1.00451231642947,1.07209333205678,7.05036130484883,6,6,12,0.22502,2
"Mg7",12,24,4.2,90.24,6812.68,0.094672,0.411251,0.99,1.00451221321308,1.09695901182731,8.20325637566484,7,7,12,0.265924,2
"Ar11",18,40,4.2,80.65,6275.43,0.0946909,0.39135,0.9916,1.00451356319222,1.08667137441042,7.74395004320439,11,11,18,0.619,2
"Ca17",20,40,4.2,182.97,10152.23,0.094688,0.5492,0.996468,1.0045132918812,1.19662306522,11.9090643881062,17,17,20,1.157726,1
"Kr22",36,84,4.2,70.174,5781.46,0.0946953,0.36789,0.99,1.00451398022704,1.07542009016964,7.21366917832664,22,22,36,0.999,3
"In37",49,115,4.2,108.8,7481.51,0.094684,0.4454,0.99386,1.00451291562376,1.11690832645549,9.03845812219374,37,37,49,2.555,3
"Xe39",54,132,4.2,96.66,6980.31,0.0946799,0.423444,0.993,1.00451250390239,1.10384749364292,8.49920556653665,39,39,54,2.811,3
"Pb54",82,208,4.2,72.13,5974.37,0.094647,0.372499,0.99,1.00450972446644,1.07745587389407,7.31204883630988,54,54,82,5.414,3
