"Projectile","LEIR_Kinj","PS_Kinj","SPS_Kinj","LEIR_beta","PS_beta","SPS_beta","LEIR_q","PS_q","SPS_q","Z","I_p","n_0"
"He1",4.2,67.02,5722.74,0.094612,0.360286,0.99,1,1,2,2,0.0544177655282,1
"He2",4.2,245.39,12279.29,0.094612,0.61131,0.99,2,2,2,2,0,0
"O4",4.2,67.08,5723.5,0.094657,0.36059,0.99,4,4,8,8,0.113899,2
"O8",4.2,245.58,12280.12,0.094657,0.61168,0.99,8,8,8,8,0,0
"Mg7",4.2,90.24,6812.68,0.094672,0.411251,0.99,7,7,12,12,0.265924,2
"Ar11",4.2,80.65,6279.567,0.094691,0.39135,0.99,11,11,18,18,0.619,2
"Ca17",4.2,130.42,8324.5,0.094688,0.549209,0.9964,17,17,20,20,1.157,1
"Kr22",4.2,71.85,5923.04,0.093595,0.36789,0.99,22,22,36,36,0.999,3
"In37",4.2,108.8,7485.97,0.094684,0.44541,0.99,37,37,49,49,2.555,3
"Xe39",4.2,96.66,6984.49,0.0946799,0.42344,0.99,39,39,54,54,2.811,3
"Pb54",4.2,72.13,5974.37,0.094647,0.372499,0.99,54,54,82,82,5.414,3
