Projectile,H2,H2O,CO,CH4,CO2,Machine,Cross Section Type
He1,3.26350466371835e-22,2.322526756382931e-21,3.5830907468532095e-21,2.2396153895857835e-21,5.5792670368643054e-21,LEIR,EL
He2,0.0,0.0,0.0,0.0,0.0,LEIR,EL
O4,4.0146939832274804e-22,2.913705167259931e-21,4.5020437977489726e-21,2.792746825457286e-21,7.014279566686155e-21,LEIR,EL
O5,4.0858317909541185e-22,2.9832381487816825e-21,4.611582298938799e-21,2.854093687443352e-21,7.18623726862507e-21,LEIR,EL
O8,0.0,0.0,0.0,0.0,0.0,LEIR,EL
Mg6,3.0651269727169713e-22,2.2763862681765684e-21,3.523308092297928e-21,2.166459915936451e-21,5.4931816632027995e-21,LEIR,EL
Mg7,2.1116314123459395e-22,1.5783488463743086e-21,2.444026846132384e-21,1.4991674234618578e-21,3.811212551272099e-21,LEIR,EL
Ar11,1.1578443984273837e-22,8.980604267339478e-22,1.3940759749263704e-21,8.433688677206376e-22,2.1763519618175795e-21,LEIR,EL
Ca17,2.9104932327398254e-23,2.330233413399869e-22,3.6242619950081395e-22,2.167176551430218e-22,5.6634460851340255e-22,LEIR,EL
Kr22,8.248070945210539e-23,6.552727119077807e-22,1.0186953741312432e-21,6.108647905797788e-22,1.5914873765869186e-21,LEIR,EL
In37,1.1411722241812144e-23,9.54243262081253e-23,1.4876822360280042e-22,8.757906412011156e-23,2.327808275691136e-22,LEIR,EL
Xe39,1.194647525914807e-23,1.0043305707740484e-22,1.5661951616237602e-22,9.20258848624154e-23,2.451060979806328e-22,LEIR,EL
Pb54,1.6206428105019935e-23,1.413275684837208e-22,2.2077600791544115e-22,1.2806772374678014e-22,3.4589714829414204e-22,LEIR,EL
He1,8.929478314509398e-30,4.941946826637418e-23,5.465999697210414e-23,5.240555494164912e-24,1.0407945630900002e-22,LEIR,EC
He2,6.482938093925174e-29,3.5879291253994217e-22,3.9683995401545726e-22,3.804723596365793e-23,7.556328017260185e-22,LEIR,EC
O4,4.706712402377936e-28,2.598335457126837e-21,2.874562742456571e-21,2.762286973434551e-22,5.472897728912167e-21,LEIR,EC
O5,8.9100532449363e-28,4.83971644716688e-21,5.362608988038276e-21,5.228952138873697e-22,1.0202324544199832e-20,LEIR,EC
O8,3.417145330981465e-27,1.543972761486435e-20,1.7418438837148674e-20,1.9787214737203162e-21,3.285816303486769e-20,LEIR,EC
Mg6,1.500854746422042e-27,7.831271399783241e-21,8.71149025538867e-21,8.802233581696673e-22,1.6542760154317163e-20,LEIR,EC
Mg7,2.3324185209722022e-27,1.1421845615060178e-20,1.2785128946592174e-20,1.3632903287875593e-21,2.4206972229233832e-20,LEIR,EC
Ar11,8.495895588843184e-27,2.8824890101972303e-20,3.336683745075664e-20,4.541972836471101e-21,6.219171905683335e-20,LEIR,EC
Ca17,2.950597717054839e-26,5.706186985431589e-20,6.858549866240042e-20,1.1523717326016042e-20,1.2564733901073915e-19,LEIR,EC
Kr22,6.168150390759809e-26,8.048793432931398e-20,9.843810894538131e-20,1.7950359660579052e-20,1.7892598159319138e-19,LEIR,EC
In37,2.728242799981172e-25,1.4967621277741489e-19,1.8706040244512962e-19,3.7385008140554736e-20,3.3673634239826453e-19,LEIR,EC
Xe39,3.1715448917040235e-25,1.5884259726182054e-19,1.9879267135957795e-19,3.995102556122491e-20,3.576349514669093e-19,LEIR,EC
Pb54,8.044003298420967e-25,2.2753202824281914e-19,2.8658101938089314e-19,5.905140433906353e-20,5.141122432233824e-19,LEIR,EC
He1,3.263504753013133e-22,2.3719462246493054e-21,3.637750743825314e-21,2.2448559450799484e-21,5.6833464931733056e-21,LEIR,Total
He2,6.482938093925174e-29,3.5879291253994217e-22,3.9683995401545726e-22,3.804723596365793e-23,7.556328017260185e-22,LEIR,Total
O4,4.0146986899398826e-22,5.512040624386768e-21,7.376606540205543e-21,3.068975522800741e-21,1.2487177295598322e-20,LEIR,Total
O5,4.085840701007363e-22,7.822954595948562e-21,9.974191286977075e-21,3.376988901330722e-21,1.7388561812824902e-20,LEIR,Total
O8,3.417145330981465e-27,1.543972761486435e-20,1.7418438837148674e-20,1.9787214737203162e-21,3.285816303486769e-20,LEIR,Total
Mg6,3.0651419812644356e-22,1.010765766795981e-20,1.2234798347686597e-20,3.0466832741061182e-21,2.2035941817519962e-20,LEIR,Total
Mg7,2.1116547365311492e-22,1.3000194461434486e-20,1.5229155792724557e-20,2.862457752249417e-21,2.801818478050593e-20,LEIR,Total
Ar11,1.1579293573832722e-22,2.972295052870625e-20,3.476091342568301e-20,5.3853417041917386e-21,6.436807101865092e-20,LEIR,Total
Ca17,2.9134438304568804e-23,5.729489319565587e-20,6.894792486190124e-20,1.1740434981159065e-20,1.2621368361925255e-19,LEIR,Total
Kr22,8.254239095601299e-23,8.114320704122176e-20,9.945680431951256e-20,1.856122445115883e-20,1.805174689697783e-19,LEIR,Total
In37,1.1684546521810261e-23,1.4977163710362301e-19,1.8720917066873242e-19,3.747258720467485e-20,3.3696912322583364e-19,LEIR,Total
Xe39,1.2263629748318472e-23,1.5894303031889794e-19,1.9894929087574032e-19,4.004305144608732e-20,3.5788005756488993e-19,LEIR,Total
Pb54,1.701082843486203e-23,2.276733558113029e-19,2.868017953888086e-19,5.917947206281031e-20,5.144581403716765e-19,LEIR,Total
He1,3.70795026614266e-23,4.615610157213386e-22,,,,PS,EL
He2,0.0,0.0,,,,PS,EL
O4,4.4497706639112226e-23,5.555792665208778e-22,,,,PS,EL
O5,3.6640012653369235e-23,5.916341192519693e-22,,,,PS,EL
O8,0.0,0.0,,,,PS,EL
Mg6,3.5676354747953794e-23,4.469265331918948e-22,,,,PS,EL
Mg7,2.002699501427753e-23,3.2111061706866543e-22,,,,PS,EL
Ar11,1.3563494832805003e-23,1.9378085626750602e-22,,,,PS,EL
Ca17,3.1051987542124594e-24,5.252385908518264e-23,,,,PS,EL
Kr22,1.1218194752245397e-23,1.4553402083429398e-22,,,,PS,EL
In37,2.3232109865051474e-24,3.8451915402304403e-23,,,,PS,EL
Xe39,2.860260877071206e-24,4.7079241849442564e-23,,,,PS,EL
Pb54,3.402669427831052e-24,4.5849971104162894e-23,,,,PS,EL
He1,1.5019014895846753e-35,8.312151101049837e-29,,,,PS,EC
He2,2.14810515562563e-37,1.1888512501204064e-30,,,,PS,EC
O4,7.882565662292952e-34,4.362541571687548e-27,,,,PS,EC
O5,1.9132944144243952e-34,1.0588971636141122e-27,,,,PS,EC
O8,1.1280638122304149e-35,6.243177015210543e-29,,,,PS,EC
Mg6,2.511758357103228e-33,1.3901121437292268e-26,,,,PS,EC
Mg7,9.407786638972111e-34,5.206662661423857e-27,,,,PS,EC
Ar11,5.876311048856205e-33,3.252196345338777e-26,,,,PS,EC
Ca17,4.00021315013023e-34,2.213885289472871e-27,,,,PS,EC
Kr22,8.319661025372724e-32,4.604448429672753e-25,,,,PS,EC
In37,4.483951576911663e-32,2.4816063700281167e-25,,,,PS,EC
Xe39,9.197776685781299e-32,5.090434368439798e-25,,,,PS,EC
Pb54,9.508507631769733e-31,5.262405872079645e-24,,,,PS,EC
He1,3.7079502661441615e-23,4.615610988428497e-22,,,,PS,Total
He2,2.14810515562563e-37,1.1888512501204064e-30,,,,PS,Total
O4,4.4497706639900483e-23,5.555836290624495e-22,,,,PS,Total
O5,3.6640012653560564e-23,5.916351781491329e-22,,,,PS,Total
O8,1.1280638122304149e-35,6.243177015210543e-29,,,,PS,Total
Mg6,3.5676354750465555e-23,4.469404343133321e-22,,,,PS,Total
Mg7,2.0026995015218308e-23,3.2111582373132687e-22,,,,PS,Total
Ar11,1.3563494838681314e-23,1.938133782309594e-22,,,,PS,Total
Ca17,3.105198754612481e-24,5.2526072970472114e-23,,,,PS,Total
Kr22,1.1218194835442007e-23,1.4599446567726127e-22,,,,PS,Total
In37,2.323211031344663e-24,3.8700076039307213e-23,,,,PS,Total
Xe39,2.860260969048973e-24,4.758828528628654e-23,,,,PS,Total
Pb54,3.402670378681815e-24,5.111237697624254e-23,,,,PS,Total
He1,0.0,0.0,0.0,0.0,0.0,SPS,EL
He2,0.0,0.0,0.0,0.0,0.0,SPS,EL
O4,0.0,0.0,0.0,0.0,0.0,SPS,EL
O5,0.0,0.0,0.0,0.0,0.0,SPS,EL
O8,0.0,0.0,0.0,0.0,0.0,SPS,EL
Mg6,0.0,0.0,0.0,0.0,0.0,SPS,EL
