Projectile,LEIR,PS,SPS
He1,159.85990448706258,3.9914623766913047,3.8877653135437805e+17
He2,1600964.178133293,1398317533795.8323,1.5178623822655556e+19
O4,127.92328187431198,3.317411840341451,1845122903536613.2
O8,8923.351081364508,6652806646.530052,7.201479567635032e+16
Mg7,234.35043633656392,5.546850991830354,890150200146197.4
Ar11,374.97509539710416,9.252262070882521,125859857126190.05
Ca17,621.8957199897951,21.295676500392176,322196931771374.25
Kr22,280.9031100549611,12.73210936867578,6547315860615.953
In37,155.48564350400653,43.25138175205298,6129294341720.099
Xe39,138.85012455401434,37.083348663260075,3019834885158.2627
Pb54,69.38825668599006,40.063748095276814,284483600170.3835
