"LEIR EC cross section (m^2)"
"Projectile","Energy (MeV/u)","H2","H2O","CH4","CO","CO2"
He$^{1+}$,4.2,3.3e-29,1.0e-25,3.0e-26,1.3e-25,2.3e-25
He$^{2+}$,4.2,2.7e-28,8.1e-25,2.4e-25,1.1e-24,1.9e-24
O$^{4+}$,4.2,2.0e-27,5.8e-24,1.7e-24,7.6e-24,1.3e-23
O$^{5+}$,4.2,4.8e-27,1.4e-23,4.1e-24,1.8e-23,3.1e-23
Mg$^{6+}$,4.2,9.7e-27,2.6e-23,8.4e-24,3.5e-23,6.1e-23
Mg$^{7+}$,4.2,1.8e-26,4.5e-23,1.5e-23,6.0e-23,1.0e-22
O$^{8+}$,4.2,2.7e-26,6.9e-23,2.5e-23,9.4e-23,1.6e-22
Ar$^{11+}$,4.2,9.3e-26,1.8e-22,7.9e-23,2.6e-22,4.3e-22
Ca$^{17+}$,4.2,5.0e-25,5.4e-22,3.1e-22,8.5e-22,1.4e-21
Kr$^{22+}$,4.2,1.4e-24,9.9e-22,6.3e-22,1.6e-21,2.6e-21
In$^{37+}$,4.2,1.0e-23,3.1e-21,2.2e-21,5.3e-21,8.4e-21
Xe$^{39+}$,4.2,1.2e-23,3.5e-21,2.5e-21,5.9e-21,9.4e-21
Pb$^{54+}$,4.2,4.3e-23,6.9e-21,5.1e-21,1.2e-20,1.9e-20
