"LEIR EL cross section (m^2)"
"Projectile","Energy (MeV/u)","H2","H2O","CH4","CO","CO2"
He$^{1+}$,4.2,3.3e-22,2.3e-21,2.2e-21,3.6e-21,5.6e-21
He$^{2+}$,4.2,0.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00
O$^{4+}$,4.2,4.0e-22,2.9e-21,2.8e-21,4.5e-21,7.0e-21
O$^{5+}$,4.2,4.1e-22,3.0e-21,2.9e-21,4.6e-21,7.2e-21
Mg$^{6+}$,4.2,3.1e-22,2.3e-21,2.2e-21,3.5e-21,5.5e-21
Mg$^{7+}$,4.2,2.1e-22,1.6e-21,1.5e-21,2.4e-21,3.8e-21
O$^{8+}$,4.2,0.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00
Ar$^{11+}$,4.2,1.2e-22,9.0e-22,8.4e-22,1.4e-21,2.2e-21
Ca$^{17+}$,4.2,2.9e-23,2.3e-22,2.2e-22,3.6e-22,5.7e-22
Kr$^{22+}$,4.2,8.2e-23,6.6e-22,6.1e-22,1.0e-21,1.6e-21
In$^{37+}$,4.2,1.1e-23,9.5e-23,8.8e-23,1.5e-22,2.3e-22
Xe$^{39+}$,4.2,1.2e-23,1.0e-22,9.2e-23,1.6e-22,2.5e-22
Pb$^{54+}$,4.2,1.6e-23,1.4e-22,1.3e-22,2.2e-22,3.5e-22
