"LEIR projectile"
"Projectile","H2","H2O","CH4","CO","CO2"
He$^{1+}$,1.5e-10,2.0e-11,2.1e-11,1.3e-11,8.5e-12
He$^{2+}$,1.8e-04,5.8e-08,2.0e-07,4.5e-08,2.5e-08
O$^{4+}$,1.2e-10,1.6e-11,1.7e-11,1.1e-11,6.8e-12
O$^{5+}$,1.2e-10,1.6e-11,1.7e-11,1.0e-11,6.6e-12
Mg$^{6+}$,1.5e-10,2.1e-11,2.2e-11,1.3e-11,8.6e-12
Mg$^{7+}$,2.2e-10,2.9e-11,3.1e-11,1.9e-11,1.2e-11
O$^{8+}$,1.7e-06,6.9e-10,1.9e-09,5.0e-10,2.9e-10
Ar$^{11+}$,4.1e-10,4.4e-11,5.1e-11,2.9e-11,1.8e-11
Ca$^{17+}$,1.6e-09,6.1e-11,9.0e-11,3.9e-11,2.4e-11
Kr$^{22+}$,5.7e-10,2.9e-11,3.8e-11,1.8e-11,1.1e-11
In$^{37+}$,2.2e-09,1.5e-11,2.1e-11,8.7e-12,5.5e-12
Xe$^{39+}$,2.0e-09,1.3e-11,1.8e-11,7.8e-12,4.9e-12
Pb$^{54+}$,8.0e-10,6.7e-12,9.0e-12,3.9e-12,2.5e-12
