"PS EC cross section (m^2)"
"Projectile","Energy (MeV/u)","H2","H2O","CH4","CO","CO2"
He$^{1+}$,67.0,5.6e-35,1.7e-31,5.2e-32,2.2e-31,4.0e-31
He$^{2+}$,245.4,9.0e-37,2.8e-33,8.4e-34,3.6e-33,6.4e-33
O$^{4+}$,67.1,3.3e-33,1.0e-29,3.1e-30,1.3e-29,2.4e-29
O$^{5+}$,102.9,1.0e-33,3.2e-30,9.5e-31,4.1e-30,7.3e-30
Mg$^{6+}$,67.1,1.6e-32,5.0e-29,1.5e-29,6.5e-29,1.2e-28
Mg$^{7+}$,90.2,7.1e-33,2.2e-29,6.6e-30,2.9e-29,5.1e-29
O$^{8+}$,245.6,9.8e-35,3.0e-31,9.1e-32,4.0e-31,7.0e-31
Ar$^{11+}$,80.7,7.1e-32,2.2e-28,6.6e-29,2.9e-28,5.1e-28
Ca$^{17+}$,183.0,7.6e-33,2.4e-29,7.1e-30,3.1e-29,5.4e-29
Kr$^{22+}$,70.2,2.1e-30,5.7e-27,1.7e-27,7.4e-27,1.3e-26
In$^{37+}$,108.8,1.9e-30,5.2e-27,1.5e-27,6.7e-27,1.2e-26
Xe$^{39+}$,96.7,4.2e-30,1.1e-26,3.3e-27,1.4e-26,2.6e-26
Pb$^{54+}$,72.1,6.0e-29,1.6e-25,4.8e-26,2.1e-25,3.7e-25
