"PS projectile"
"Projectile","H2","H2O","CH4","CO","CO2"
He$^{1+}$,3.4e-10,2.8e-11,3.5e-11,1.8e-11,1.1e-11
He$^{2+}$,8.3e+03,2.7e+00,9.0e+00,2.1e+00,1.2e+00
O$^{4+}$,2.9e-10,2.3e-11,2.9e-11,1.5e-11,9.3e-12
O$^{5+}$,2.9e-10,1.8e-11,2.5e-11,1.2e-11,7.3e-12
Mg$^{6+}$,3.6e-10,2.8e-11,3.7e-11,1.8e-11,1.2e-11
Mg$^{7+}$,5.6e-10,3.5e-11,4.9e-11,2.3e-11,1.4e-11
O$^{8+}$,7.6e+01,2.5e-02,8.2e-02,1.9e-02,1.1e-02
Ar$^{11+}$,8.6e-10,6.0e-11,8.2e-11,4.0e-11,2.5e-11
Ca$^{17+}$,2.7e-09,1.6e-10,2.3e-10,1.1e-10,6.5e-11
Kr$^{22+}$,1.1e-09,8.5e-11,1.1e-10,5.6e-11,3.5e-11
In$^{37+}$,4.4e-09,2.7e-10,3.9e-10,1.8e-10,1.1e-10
Xe$^{39+}$,3.8e-09,2.3e-10,3.3e-10,1.5e-10,9.4e-11
Pb$^{54+}$,3.6e-09,2.7e-10,3.5e-10,1.7e-10,1.1e-10
