Machine,Projectile,Charge,Target Gas,Allowed Pressure (mbar) for 30.0s
LEIR,He1,1,H2,1.4566346142404408e-10
LEIR,He1,1,H2O,2.04670466992199e-11
LEIR,He1,1,CH4,2.1225384560034696e-11
LEIR,He1,1,CO,1.3266645054794305e-11
LEIR,He1,1,CO2,8.519999767876633e-12
LEIR,He2,2,H2,0.00017515177439998323
LEIR,He2,2,H2O,5.8415794267751726e-08
LEIR,He2,2,CH4,1.9518602277681827e-07
LEIR,He2,2,CO,4.499468422915135e-08
LEIR,He2,2,CO2,2.5420844492985794e-08
LEIR,O4,4,H2,1.1835085220025705e-10
LEIR,O4,4,H2O,1.6274664972933766e-11
LEIR,O4,4,CH4,1.70028768868407e-11
LEIR,O4,4,CO,1.0536251605459398e-11
LEIR,O4,4,CO2,6.7610437246868404e-12
LEIR,O5,5,H2,1.162914683489642e-10
LEIR,O5,5,H2O,1.5855260013090144e-11
LEIR,O5,5,CH4,1.662400273137967e-11
LEIR,O5,5,CO,1.0264064935546178e-11
LEIR,O5,5,CO2,6.583332395997784e-12
LEIR,O8,8,H2,1.7382096004683519e-06
LEIR,O8,8,H2O,6.856124160403661e-10
LEIR,O8,8,CH4,1.8957391839335883e-09
LEIR,O8,8,CO,5.039502581170354e-10
LEIR,O8,8,CO2,2.9050365039741826e-10
LEIR,Mg6,6,H2,1.5498793657390274e-10
LEIR,Mg6,6,H2O,2.0630661100964697e-11
LEIR,Mg6,6,CH4,2.1844193335017292e-11
LEIR,Mg6,6,CO,1.335221245457058e-11
LEIR,Mg6,6,CO2,8.553340638869375e-12
LEIR,Mg7,7,H2,2.249627422332269e-10
LEIR,Mg7,7,H2O,2.926779476203571e-11
LEIR,Mg7,7,CH4,3.137318765131574e-11
LEIR,Mg7,7,CO,1.8973151229937337e-11
LEIR,Mg7,7,CO2,1.213178148738055e-11
LEIR,Ar11,11,H2,4.0992073906522103e-10
LEIR,Ar11,11,H2O,4.414581705236169e-11
LEIR,Ar11,11,CH4,5.149162721168993e-11
LEIR,Ar11,11,CO,2.8773378297763478e-11
LEIR,Ar11,11,CO2,1.8192715715555236e-11
LEIR,Ca17,17,H2,1.6044488834752272e-09
LEIR,Ca17,17,H2O,6.108700824279784e-11
LEIR,Ca17,17,CH4,9.009502854420323e-11
LEIR,Ca17,17,CO,3.906298287526069e-11
LEIR,Ca17,17,CO2,2.4185838483356287e-11
LEIR,Kr22,22,H2,5.665538449790672e-10
LEIR,Kr22,22,H2O,2.879028584218117e-11
LEIR,Kr22,22,CH4,3.838185665077078e-11
LEIR,Kr22,22,CO,1.8020374398189055e-11
LEIR,Kr22,22,CO2,1.1304336986103576e-11
LEIR,In37,37,H2,2.2088556625644326e-09
LEIR,In37,37,H2O,1.479086519022506e-11
LEIR,In37,37,CH4,2.071471411617788e-11
LEIR,In37,37,CO,8.731642369995059e-12
LEIR,In37,37,CO2,5.504105453521244e-12
LEIR,Xe39,39,H2,1.953745100773732e-09
LEIR,Xe39,39,H2O,1.3242475155240415e-11
LEIR,Xe39,39,CH4,1.842401619301589e-11
LEIR,Xe39,39,CO,7.796902930309254e-12
LEIR,Xe39,39,CO2,4.919836191590574e-12
LEIR,Pb54,54,H2,7.967405242276198e-10
LEIR,Pb54,54,H2O,6.715568401332265e-12
LEIR,Pb54,54,CH4,9.046325557024215e-12
LEIR,Pb54,54,CO,3.91107006962743e-12
LEIR,Pb54,54,CO2,2.4793156241113074e-12
PS,He1,1,H2,3.3685033416011624e-10
PS,He1,1,H2O,2.7060870463254776e-11
PS,He1,1,CH4,3.479976398809196e-11
PS,He1,1,CO,1.7610743113699572e-11
PS,He1,1,CO2,1.1017029386434064e-11
PS,He2,2,H2,8184.693246444254
PS,He2,2,H2O,2.6358128686526294
PS,He2,2,CH4,8.807678257103216
PS,He2,2,CO,2.030208013240794
PS,He2,2,CO2,1.1470155138614222
PS,O4,4,H2,2.80457582345424e-10
PS,O4,4,H2O,2.246253549118467e-11
PS,O4,4,CH4,2.891797424763616e-11
PS,O4,4,CO,1.461938376848473e-11
PS,O4,4,CO2,9.14450367919059e-12
PS,O5,5,H2,2.8227018583470707e-10
PS,O5,5,H2O,1.7481045783220302e-11
PS,O5,5,CH4,2.500840519352909e-11
PS,O5,5,CO,1.155224557570745e-11
PS,O5,5,CO2,7.131377289478949e-12
PS,O8,8,H2,75.01105557493926
PS,O8,8,H2O,0.02415669098674375
PS,O8,8,CH4,0.08072058699533732
PS,O8,8,CO,0.018606445168369862
PS,O8,8,CO2,0.01051216482584185
PS,Mg6,6,H2,3.497106517435405e-10
PS,Mg6,6,H2O,2.7915997253173324e-11
PS,Mg6,6,CH4,3.5980873035768726e-11
PS,Mg6,6,CO,1.8169998412518745e-11
PS,Mg6,6,CO2,1.1363891313202668e-11
PS,Mg7,7,H2,5.463796237401225e-10
PS,Mg7,7,H2O,3.4076547674089266e-11
PS,Mg7,7,CH4,4.862111309510109e-11
PS,Mg7,7,CO,2.251126456407691e-11
PS,Mg7,7,CO2,1.3900922642738955e-11
PS,Ar11,11,H2,8.473653336954771e-10
PS,Ar11,11,H2O,5.931041127438166e-11
PS,Ar11,11,CH4,8.074999072606625e-11
PS,Ar11,11,CO,3.8904506658570565e-11
PS,Ar11,11,CO2,2.4163764182896876e-11
PS,Ca17,17,H2,2.6374358791351175e-09
PS,Ca17,17,H2O,1.5592454707752713e-10
PS,Ca17,17,CH4,2.269824230098719e-10
PS,Ca17,17,CO,1.0328959338087878e-10
PS,Ca17,17,CO2,6.363055719077282e-11
PS,Kr22,22,H2,1.089851944656389e-09
PS,Kr22,22,H2O,8.40057608950366e-11
PS,Kr22,22,CH4,1.0980746274645731e-10
PS,Kr22,22,CO,5.477013000127259e-11
PS,Kr22,22,CO2,3.4194444183085695e-11
PS,In37,37,H2,4.346740518167874e-09
PS,In37,37,H2O,2.6258902076764915e-10
PS,In37,37,CH4,3.791878533228274e-10
PS,In37,37,CO,1.7375363460233556e-10
PS,In37,37,CO2,1.071415157330318e-10
PS,Xe39,39,H2,3.7136982046966773e-09
PS,Xe39,39,H2O,2.255696567302309e-10
PS,Xe39,39,CH4,3.25074034614748e-10
PS,Xe39,39,CO,1.4921759362719396e-10
PS,Xe39,39,CO2,9.203383103516258e-11
PS,Pb54,54,H2,3.55048685615579e-09
PS,Pb54,54,H2O,2.625842108983691e-10
PS,Pb54,54,CH4,3.489857662321635e-10
PS,Pb54,54,CO,1.7156207824204217e-10
PS,Pb54,54,CO2,1.0688962980181335e-10
SPS,He1,2,H2,18564611875.243954
SPS,He1,2,H2O,5978579.942940165
SPS,He1,2,CH4,19977673.376602337
SPS,He1,2,CO,4604940.302215904
SPS,He1,2,CO2,2601673.292883847
SPS,He2,2,H2,719298046003.4509
SPS,He2,2,H2O,231643995.56162396
SPS,He2,2,CH4,774048039.3585601
SPS,He2,2,CO,178421428.01614124
SPS,He2,2,CO2,100803535.69934912
SPS,O4,8,H2,169717691.977055
SPS,O4,8,H2O,54656.18112755636
SPS,O4,8,CH4,182635.90099988834
SPS,O4,8,CO,42098.366776328585
SPS,O4,8,CO2,23784.498674890212
SPS,O5,8,H2,524942097.0821757
SPS,O5,8,H2O,169053.2672544333
